Difficulty,Title,Link,Topics
MEDIUM,Merge Intervals,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Minesweeper,https://leetcode.com/problems/minesweeper,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Find Duplicate File in System,https://leetcode.com/problems/find-duplicate-file-in-system,"Array, Hash Table, String"
HARD,Word Abbreviation,https://leetcode.com/problems/word-abbreviation,"Array, String, Greedy, Trie, Sorting"
HARD,Best Meeting Point,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
HARD,Shortest Distance from All Buildings,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
MEDIUM,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Range Sum Query 2D - Immutable,https://leetcode.com/problems/range-sum-query-2d-immutable,"Array, Design, Matrix, Prefix Sum"
MEDIUM,Design Circular Queu,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,Cyclically Rotating a Grid,https://leetcode.com/problems/cyclically-rotating-a-grid,"Array, Matrix, Simulation"
HARD,Maximum Number of Visible Points,https://leetcode.com/problems/maximum-number-of-visible-points,"Array, Math, Geometry, Sliding Window, Sorting"
EASY,Design HashMap,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
