Difficulty,Title,Link,Topics
MEDIUM,Mark Elements on Array by Performing Queries,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
EASY,Furthest Point From Origin,https://leetcode.com/problems/furthest-point-from-origin,"String, Counting"
MEDIUM,Count Submatrices with Top-Left Element and Sum Less Than k,https://leetcode.com/problems/count-submatrices-with-top-left-element-and-sum-less-than-k,"Array, Matrix, Prefix Sum"
MEDIUM,Double Modular Exponentiation,https://leetcode.com/problems/double-modular-exponentiation,"Array, Math, Simulation"
HARD,Lexicographically Smallest Generated String,https://leetcode.com/problems/lexicographically-smallest-generated-string,"String, Greedy, String Matching"
HARD,Maximum Employees to Be Invited to a Meeting,https://leetcode.com/problems/maximum-employees-to-be-invited-to-a-meeting,"Depth-First Search, Graph, Topological Sort"
MEDIUM,Number of Islands,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Valid Parentheses,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Two Sum,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Minimum Number of Refueling Stops,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
MEDIUM,3Sum,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
EASY,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Maximum Subarray,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Lexicographical Numbers,https://leetcode.com/problems/lexicographical-numbers,"Depth-First Search, Trie"
MEDIUM,Permutations,https://leetcode.com/problems/permutations,"Array, Backtracking"
EASY,Climbing Stairs,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
